[2025-12-20 18:20:37.909] [info]  DiscordSplash.signalReady
[2025-12-20 18:20:37.919] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-12-20 18:20:37.920] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-12-20 18:20:37.925] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-12-20 18:20:37.925] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-12-20 18:20:37.929] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-12-20 18:20:37.929] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-12-20 18:20:37.929] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-12-20 18:20:37.930] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-12-20 18:20:37.930] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-12-20 18:20:37.930] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-12-20 18:20:37.930] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-12-20 18:20:37.930] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-12-20 18:20:37.931] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-12-20 18:20:37.931] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-12-20 18:20:38.081] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-12-20 18:20:38.081] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-12-20 18:20:38.812] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-12-20 18:20:38.813] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-12-20 18:20:38.814] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-12-20 18:20:38.814] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-12-20 18:20:38.820] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-12-20 18:20:38.821] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-12-20 18:20:38.826] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-12-20 18:20:38.826] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-12-20 18:20:38.829] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-12-20 18:20:38.829] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-12-20 18:20:38.830] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-12-20 18:20:38.831] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-12-20 18:20:38.833] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-12-20 18:20:38.833] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-12-20 18:20:38.837] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-12-20 18:20:38.837] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-12-20 18:20:38.838] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2025-12-20 18:20:38.838] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2025-12-20 18:20:38.841] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2025-12-20 18:20:38.841] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2025-12-20 18:20:38.841] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
